inhib_strength,w_init_lo,w_init_hi,poisson_rate_scale,thresh_init,N_train,proxy_score,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample,runtime_sec
0.525,0.25,0.9,0.012,0.4,400,0.239,58.6,71,0.036,1354.4,70.49
0.725,0.35,0.8,0.014,0.34,400,0.148,76.59,86,0.032,1575.0,70.34
0.6,0.35,0.6,0.012,0.3,400,0.376,30.21,54,0.032,1326.0,70.09
0.625,0.25,0.7,0.008,0.4,400,0.139,1.69,21,0.062,894.9,70.0
0.725,0.25,0.4,0.01,0.32,400,0.6,0.17,3,0.333,1095.1,70.31
0.575,0.65,0.9,0.012,0.36,400,0.13,204.79,86,0.016,1500.5,70.58
0.75,0.25,0.4,0.01,0.3,400,0.223,0.16,9,0.111,1095.1,70.72
0.55,0.35,0.7,0.009,0.38,400,0.189,11.97,27,0.047,1005.7,70.18
0.75,0.35,0.9,0.014,0.36,400,0.145,90.02,93,0.028,1588.4,70.52
0.75,0.45,0.8,0.012,0.38,400,0.151,74.56,80,0.033,1370.3,70.69
0.7,0.55,0.8,0.008,0.34,400,0.407,28.53,50,0.028,921.8,70.31
0.6,0.35,0.8,0.009,0.4,400,0.343,17.27,39,0.059,1011.0,70.44
0.7,0.55,0.8,0.009,0.3,400,0.342,47.58,61,0.041,1041.3,70.0
0.675,0.35,0.9,0.008,0.4,400,0.298,13.12,38,0.045,906.4,70.84
0.575,0.35,0.8,0.012,0.38,400,0.184,59.58,76,0.033,1355.3,70.62
0.525,0.45,0.9,0.011,0.4,400,0.18,84.32,76,0.026,1279.0,70.22
0.525,0.55,0.8,0.01,0.42,400,0.244,84.67,70,0.028,1179.6,71.33
0.7,0.25,0.4,0.008,0.42,400,0.0,0.0,0,0.0,893.2,70.32
0.65,0.35,0.9,0.011,0.32,400,0.15,50.43,78,0.029,1245.1,70.04
0.675,0.55,0.9,0.012,0.34,400,0.135,121.32,91,0.02,1417.1,70.01
0.675,0.45,0.7,0.011,0.32,400,0.268,51.04,67,0.033,1245.7,70.77
0.7,0.45,0.8,0.009,0.3,400,0.408,26.68,48,0.04,1020.4,70.22
0.525,0.25,0.4,0.008,0.4,400,0.0,0.0,0,0.0,893.2,70.06
0.525,0.55,0.8,0.014,0.34,400,0.137,202.69,89,0.019,1701.1,70.37
0.525,0.25,0.6,0.009,0.42,400,0.227,1.96,11,0.111,995.7,70.03
0.675,0.35,0.7,0.012,0.34,400,0.347,40.51,60,0.042,1336.3,70.68
0.65,0.25,0.9,0.011,0.32,400,0.38,36.48,58,0.05,1231.2,70.32
0.55,0.25,0.4,0.011,0.4,400,0.336,1.0,6,0.167,1195.7,70.32
0.6,0.45,0.7,0.008,0.42,400,0.238,14.12,33,0.039,907.4,70.31
0.575,0.35,0.9,0.008,0.36,400,0.344,14.39,43,0.042,907.6,71.33
0.575,0.35,0.8,0.012,0.32,400,0.138,58.39,81,0.031,1354.1,70.89
0.725,0.65,0.9,0.01,0.32,400,0.13,130.81,85,0.017,1225.7,70.76
0.7,0.35,0.5,0.008,0.3,400,0.224,0.73,9,0.111,894.0,70.49
0.55,0.35,0.9,0.014,0.3,400,0.152,114.59,88,0.029,1613.0,70.96
0.575,0.35,0.6,0.01,0.36,400,0.24,12.99,33,0.041,1107.9,70.41
0.625,0.25,0.7,0.008,0.42,400,0.139,1.69,21,0.062,894.9,70.31
0.7,0.35,0.9,0.012,0.4,400,0.221,63.63,73,0.036,1359.4,70.41
0.6,0.45,0.7,0.011,0.38,400,0.358,55.78,59,0.036,1250.5,70.93
0.525,0.35,0.6,0.009,0.36,400,0.187,6.64,27,0.051,1000.4,70.48
0.7,0.25,0.8,0.009,0.32,400,0.285,9.09,32,0.072,1002.8,70.62
0.75,0.25,0.8,0.008,0.3,400,0.176,3.84,26,0.053,897.1,70.55
0.525,0.55,0.8,0.013,0.32,400,0.145,179.0,85,0.023,1575.5,70.35
0.5,0.65,0.8,0.014,0.34,400,0.135,322.32,85,0.018,1820.7,70.65
0.75,0.25,0.4,0.013,0.32,400,0.153,5.89,26,0.04,1402.4,70.81
0.5,0.25,0.8,0.014,0.36,400,0.154,73.38,81,0.035,1571.8,70.57
