inhib_strength,w_init_lo,w_init_hi,nu_plus,nu_minus,poisson_rate_scale,thresh_init,tau_val,refrac_val,vt_mean,vt_jitter,w_clip_min,w_clip_max,N_train,proxy_score,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample,runtime_sec
0.625,0.25,0.6,0.0001,-0.001,0.014,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.462,29.6,61,0.059,1528.0,69.54
0.7,0.25,0.8,0.0001,-0.001,0.009,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.46,9.04,33,0.07,1002.8,69.9
0.625,0.25,0.8,0.0001,-0.001,0.009,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.433,9.98,31,0.056,1003.7,69.92
0.675,0.45,0.9,0.0001,-0.001,0.011,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.242,69.13,85,0.024,1263.8,69.73
0.575,0.35,0.9,0.0001,-0.001,0.013,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.211,92.11,92,0.03,1488.6,69.83
0.5,0.35,0.9,0.0001,-0.001,0.008,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.435,16.14,34,0.051,909.4,69.68
0.675,0.25,0.8,0.0001,-0.001,0.014,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.267,58.43,84,0.035,1556.8,69.61
0.675,0.45,0.9,0.0001,-0.001,0.014,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.228,124.46,88,0.021,1622.9,69.35
0.675,0.35,0.9,0.0001,-0.001,0.013,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.292,80.59,83,0.039,1477.1,69.44
0.7,0.35,0.6,0.0001,-0.001,0.012,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.418,26.74,49,0.035,1322.5,69.49
0.65,0.65,0.8,0.0001,-0.001,0.008,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.428,73.26,55,0.022,966.5,69.23
0.675,0.35,0.9,0.0001,-0.001,0.011,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.346,48.7,73,0.037,1243.4,69.26
0.575,0.35,0.6,0.0001,-0.001,0.013,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.367,41.69,66,0.023,1438.2,69.93
0.65,0.35,0.5,0.0001,-0.001,0.011,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.417,16.61,28,0.041,1211.3,69.56
0.5,0.25,0.8,0.0001,-0.001,0.012,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.458,43.98,63,0.057,1339.7,69.94
0.625,0.25,0.6,0.0001,-0.001,0.008,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.541,0.4,10,0.12,893.6,69.89
0.6,0.35,0.8,0.0001,-0.001,0.009,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.478,17.08,38,0.072,1010.8,70.26
0.525,0.35,0.8,0.0001,-0.001,0.011,0.36,150.0,2.0,0.35,0.02,0.0,1.0,400,0.407,46.38,65,0.038,1241.1,70.1
